latitude,longitude,name,desc,color,source,precision
43.7786102,-79.4156876,"5522 YONGE ST, NORTH YORK, ON, M2N7L3","5522 Yonge St, North York, ON M2N 7L3, Canada",teal,Bing Maps,address
43.7780609,-79.7443695,"160 Yellow Avens Blvd Brampton, ON, L6M0R5","160 Yellow Avens Blvd, Brampton, ON L6R 0M5, Canada",red,Bing Maps,address
43.7767982,-79.6541595,"8950 HWY 50, BRAMPTON, ON, L6P3A3","8950 HWY-50, Brampton, ON L6P, Canada",teal,Bing Maps,address
43.7749901,-79.6126556,"5731 Highway 7 Unit 26, Woodbridge, ON L4L 4Y9","5731 HWY-7, Woodbridge, ON L4L 4Y9, Canada",green,Bing Maps,address
43.7744026,-79.4940643,"4700 KEELE STREET, TORONTO, ON, M3J1P3","4700 Keele St, North York, ON M3J 1P3, Canada",teal,Bing Maps,address
43.7742195,-79.4131088,"20 CHURCH AVENUE, NORTH YORK, ON, M2N0B7","20 Church Ave, North York, ON M2N 0B7, Canada",teal,Bing Maps,address
43.7741165,-79.6165771,"5869 Hwy 7 Woodbridge, ON","5869 HWY-7, Woodbridge, ON L4L, Canada",gold,Bing Maps,address
43.7723808,-79.6263809,"2 Vaughan Valley Road Vaughan, ON, L4K3C4","2 Vaughan Valley Blvd, Woodbridge, ON L4H 0B1, Canada",red,Bing Maps,address
43.7714882,-79.5414581,"3700 STEELES AVENUE WEST, WOODBRIDGE, ON, L4L8K8","3700 Steeles Ave W, Woodbridge, ON L4L, Canada",teal,Bing Maps,address
43.7712402,-79.7563324,"140 Father Tobin Road Brampton, ON, L6R0E3","140 Father Tobin Rd, Brampton, ON L6R 3P1, Canada",red,Bing Maps,address
43.7710457,-79.7560959,"135 Father Tobin Rd, Brampton, ON L6R 0W9","135 Father Tobin Rd, Brampton, ON L6R 0W9, Canada",green,Bing Maps,address
43.7707329,-79.7796173,"11825 Bramalea Road Unit 1 Brampton, ON","11825 Bramalea Rd, Brampton, ON L6R 3S9, Canada",gold,Bing Maps,address
43.770649,-79.7795029,"11815 Bramalea Road Brampton, ON, L6R3S9","11815 Bramalea Rd, Brampton, ON L6R 3S9, Canada",red,Bing Maps,address
43.7697906,-79.5459518,"4999 Steeles Ave W, North York, ON M9L 1R4","4999 Steeles Ave W, North York, ON M9L 1R4, Canada",green,Bing Maps,address
43.7686996,-79.3704605,"57 PROVOST DRIVE, NORTH YORK, ON, M2K0B7","57 Provost Dr, North York, ON M2K 0B7, Canada",teal,Bing Maps,address
43.7684898,-79.4131012,"5140 YONGE ST, WILLOWDALE, ON, M2N6L7","5140 Yonge St, North York, ON M2N, Canada",teal,Bing Maps,address
43.767381,-79.7752954,"11805 Bramalea Rd, Brampton, ON, L6R 3S9","11805 Bramalea Road, Brampton, ON L6R 0B8, Canada",blue,Google Maps,address
43.7646484,-79.3979721,"288 SHEPPARD AVE E, TORONTO, ON, M2N3B1","288 Sheppard Ave E, North York, ON M2N, Canada",teal,Bing Maps,address
43.7629166,-79.7221603,"9990 AIRPORT RD, BRAMPTON, ON, L6S0C5","9990 Airport Rd, Brampton, ON L6S 0C5, Canada",teal,Bing Maps,address
43.7622604,-79.4107895,"4841 YONGE ST., NORTH YORK, ON, M2N5X2","4841 Yonge St, North York, ON M2N 5X2, Canada",teal,Bing Maps,address
43.7615356,-79.7197418,"9919 Airport Road Brampton, ON, L6S0A2","9919 Airport Rd, Brampton, ON L6S 0A2, Canada",red,Bing Maps,address
43.7608185,-79.4109802,"4800 YONGE STREET, NORTH YORK, ON, M2N5X2","4800 Yonge St, North York, ON M2N 6G5, Canada",teal,Bing Maps,address
43.759613,-79.7313766,"55 Mountainash Rd, Brampton, ON L6R 1W4","55 Mountainash Rd, Brampton, ON L6R 1W4, Canada",green,Bing Maps,address
43.759613,-79.7313766,"55 Mountainash Blvd. Brampton, ON","55 Mountainash Rd, Brampton, ON L6R 0K8, Canada",gold,Bing Maps,address
43.7592697,-79.7311707,"51 Mountainash Rd, Brampton","51 Mountainash Rd, Brampton, ON L6R 3G8, Canada",blue,Bing Maps,address
43.7591629,-79.7311096,"47 Mountainash Road Brampton, ON, L6R1W4","47 Mountainash Rd, Brampton, ON L6R 1W4, Canada",red,Bing Maps,address
43.7590561,-79.7310486,"43 Mountainash Rd, Brampton","43 Mountainash Rd, Brampton, ON L6R 3K1, Canada",blue,Bing Maps,address
43.7573242,-79.5207672,"1 YORKGATE BLVD, NORTH YORK, ON, M3N3A1","1 York Gate Blvd, North York, ON M3N, Canada",teal,Bing Maps,address
43.756691,-79.5892715,"2700 Kipling Ave N, Etobicoke, ON M9V 4P2","2700 Kipling Ave, Etobicoke, ON M9V, Canada",green,Bing Maps,address
43.7550545,-79.4413986,"648 SHEPPARD AVE W, NORTH YORK, ON, M3H2S1","648 Sheppard Ave W, North York, ON M3H 2S1, Canada",teal,Bing Maps,address
43.7545433,-79.757637,"10511 Bramalea Road Brampton, ON, L6R3P4","10511 Bramalea Rd, Brampton, ON L6R 3P4, Canada",red,Bing Maps,address
43.7540245,-79.6836853,"3550 Queen Street East Brampton, ON, L6P3L2","3550 Queen St E, Brampton, ON L6P 3L2, Canada",red,Bing Maps,address
43.7507477,-79.5854416,"2687 Kipling Ave, Toronto","2687 Kipling Ave, Etobicoke, ON M9V 5G6, Canada",blue,Bing Maps,address
43.7496605,-79.7400589,"7 Sunny Meadow Blvd, Brampton","7 Sunny Meadow Blvd, Brampton, ON L6R 0N8, Canada",blue,Bing Maps,address
43.7490692,-79.5601196,"2546 FINCH AVE W, WESTON, ON, M9M2G3","2546 Finch Ave W, North York, ON M9M, Canada",teal,Bing Maps,address
43.7490311,-79.5603333,"2550 Finch Ave W, North York","2550 Finch Ave W, North York, ON M9M, Canada",blue,Bing Maps,address
43.7488785,-79.5612183,"2574 Finch Ave W, North York, ON M9M 2G3","2574 Finch Ave W, North York, ON M9M, Canada",green,Bing Maps,address
43.7479935,-79.7278061,"2001 North Park Drive Brampton, ON, L6S5Z9","2001 N Park Dr, Brampton, ON L6S 5Z9, Canada",red,Bing Maps,address
43.7466202,-79.6995544,"9115 Airport Rd, Brampton","9115 Airport Rd, Brampton, ON L6S 0B8, Canada",blue,Bing Maps,address
43.7461319,-79.6988983,"9085 Airport Rd, Brampton, ON L6S 0B8","9085 Airport Rd, Brampton, ON L6S 0B8, Canada",green,Bing Maps,address
43.7451668,-79.6975937,"9025 Airport Road Unit 1 Brampton, ON","9025 Airport Rd, Brampton, ON L6S 0B8, Canada",gold,Bing Maps,address
43.7451591,-79.6146088,"1839 Albion Road Etobicoke, ON, M9W5S8","1839 Albion Rd, Etobicoke, ON M9W, Canada",red,Bing Maps,address
43.7436467, -79.60403,"11 Westmore Dr, Toronto","11 Westmore Dr, Etobicoke, ON M9V 1C3, Canada",blue,Bing Maps,address
43.7422791,-79.6971207,"2963 Queen St E, Brampton","2963 Queen St E, Brampton, ON L6T 5J1, Canada",blue,Bing Maps,address
43.7411537,-79.7735367,"490 Great Lakes Drive Brampton, ON, L6R0R2","490 Great Lakes Dr, Brampton, ON L6R 0R2, Canada",red,Bing Maps,address
43.7405739,-79.5849304,"1530 ALBION RD, REXDALE, ON, M9V1B4","1530 Albion Rd, Etobicoke, ON M9V, Canada",teal,Bing Maps,address
43.7402077,-79.7586136,"630 Peter Robertson Boulevard Brampton, ON","630 Peter Robertson Blvd, Brampton, ON L6R 1T4, Canada",gold,Bing Maps,address
43.7398529,-79.7592545,"620 Peter Roberston, Brampton","620 Peter Robertson Blvd, Brampton, ON L6R 1T5, Canada",blue,Bing Maps,address
43.7393265,-79.5129471,"1951 SHEPPARD AVE W, DOWNSVIEW, ON, M3L1Y8","1951 Sheppard Ave W, North York, ON M3L 1Y8, Canada",teal,Bing Maps,address
43.7375488,-79.5661469,"1104 Albion Rd, Etobicoke","1104 Albion Rd, Etobicoke, ON M9V 1A8, Canada",blue,Bing Maps,address
43.737414,-79.565876,"1688 Albion Rd, Rexdale, ON","Albion Road, Toronto, ON, CA",gold,MapQuest Open,street
43.736351,-79.5620117,"972 Albion Rd, Etobicoke, ON M9V 1A7","972 Albion Rd, Etobicoke, ON M9V 1A7, Canada",green,Bing Maps,address
43.7363358,-79.7810516,"10606 Heartlake Rd, Brampton","10606 Heart Lake Rd, Brampton, ON L6Z 0B3, Canada",blue,Bing Maps,address
43.7353516,-79.5593033,"900 Albion Road, Toronto","900 Albion Rd, Etobicoke, ON M9V, Canada",blue,Bing Maps,address
43.7353516,-79.5593033,"900 Albion Road, Etobicoke, ON, M9V1A5","900 Albion Rd, Etobicoke, ON M9V, Canada",teal,Bing Maps,address
43.7352028,-79.8236542,"3068 Mayfield Rd, Brampton","3068 Mayfield Rd, Brampton, ON L6Z 0E3, Canada",blue,Bing Maps,address
43.734581,-79.6172714,"6897 Finch Ave W, Toronto","6897 Finch Ave W, Toronto, ON M9W, Canada",blue,Bing Maps,address
43.7344551,-79.7430191,"930 NORTH PARK DRIVE, BRAMPTON, ON, L6S3Y5","930 N Park Dr, Brampton, ON L6S 3Y5, Canada",teal,Bing Maps,address
43.7344551,-79.7430191,"930 North Park Drive, Brampton, ON","930 N Park Dr, Brampton, ON L6S 3Y5, Canada",gold,Bing Maps,address
43.7344551,-79.7430191,"930 North Park Drive Brampton, ON","930 N Park Dr, Brampton, ON L6S 3Y5, Canada",gold,Bing Maps,address
43.7335472,-79.824585,"11965 HURONTARIO STREET, BRAMPTON, ON, L7A1E6","11965 Hurontario St, Brampton, ON L6Z 4P7, Canada",teal,Bing Maps,address
43.7335472,-79.824585,"11965 Hurontario St, Brampton","11965 Hurontario St, Brampton, ON L6Z 4P7, Canada",blue,Bing Maps,address
43.733181,-79.588707,"1701 Martingrove Rd, Etobicoke, ON M9V 5P5","1701 Martin Grove Rd, Etobicoke, ON M9V 4N4, Canada",green,Bing Maps,address
43.7321892,-79.7090988,"2200 Queen St E Brampton, ON","2200 Queen St E, Brampton, ON L6S 4G9, Canada",gold,Bing Maps,address
43.7318649,-79.7628632,"90 Great Lakes Dr, Brampton, ON L6R 2K7","90 Great Lakes Dr, Brampton, ON L6R 2K7, Canada",green,Bing Maps,address
43.7315292,-79.7617188,"25 Great Lakes Dr, Brampton","25 Great Lakes Dr, Brampton, ON L6R 2S5, Canada",blue,Bing Maps,address
43.7315102,-79.7622604,"50 Great Lakes Drive Brampton, ON, L6R2K7","50 Great Lakes Dr, Brampton, ON L6R 2K7, Canada",red,Bing Maps,address
