latitude,longitude,name,desc,color,source,precision
43.6675034,-79.7356796,"499 MAIN ST S, BRAMPTON, ON, L6Y1N7","499 Main St S, Brampton, ON L6Y 1N6, Canada",,Bing Maps,address
43.7335472,-79.824585,"11965 HURONTARIO STREET, BRAMPTON, ON, L7A1E6","11965 Hurontario St, Brampton, ON L6Z 4P7, Canada",,Bing Maps,address
43.7393265,-79.5129471,"1951 SHEPPARD AVE W, DOWNSVIEW, ON, M3L1Y8","1951 Sheppard Ave W, North York, ON M3L 1Y8, Canada",,Bing Maps,address
43.6761208,-79.7708893,"398 QUEEN ST W, BRAMPTON, ON, L6X1B3","398 Queen St W, Brampton, ON L6X, Canada",,Bing Maps,address
43.7202606,-79.5128021,"1700 WILSON AVE, DOWNSVIEW, ON, M3L1B2","1700 Wilson Ave, North York, ON M3L, Canada",,Bing Maps,address
43.6605301,-79.5821762,"120 ERINGATE DR, ETOBICOKE, ON, M9C3Z8","120 Eringate Dr, Etobicoke, ON M9C 3Z8, Canada",,Bing Maps,address
43.655674,-79.7443924,"545 STEELES AVE WEST, A-01, BRAMPTON, ON, L6Y4E7","545 Steeles Ave W, Brampton, ON L6Y 4E7, Canada",,Bing Maps,address
43.6916199,-79.5318069,"1500 ROYAL YORK RD, ETOBICOKE, ON, M9P3B6","1500 Royal York Rd, Etobicoke, ON M9P 3B6, Canada",,Bing Maps,address
43.6827431,-79.803421,"9825 CHINGUACOUSY ROAD, BRAMPTON, ON, L6X0V1","9825 Chinguacousy Rd, Brampton, ON L6X 0V1, Canada",,Bing Maps,address
43.7008286,-79.5177612,"1939 WESTON RD, WESTON, ON, M9N1W8","1939 Weston Rd, York, ON M9N 1W8, Canada",,Bing Maps,address
43.666153,-79.7806702,"8975 CHINGUACOUSY ROAD, BRAMPTON, ON, L6Y0J2","8975 Chinguacousy Rd, Brampton, ON L6Y 0J2, Canada",,Bing Maps,address
43.6378899,-79.6944733,"6605 HURONTARIO ST, MISSISSAUGA, ON, L5T0A4","6605 Hurontario St, Mississauga, ON L5T 0A4, Canada",,Bing Maps,address
43.6836815,-79.8128204,"20 BRISDALE DR, BRAMPTON, ON, L7A2G8","20 Brisdale Dr, Brampton, ON L7A 3T9, Canada",,Bing Maps,address
